Title,Country,Date,Time,Impact,Forecast,Previous
SPPI y/y,JPY,03-26-2023,11:50pm,Low,1.8%,1.6%
German ifo Business Climate,EUR,03-27-2023,8:00am,Medium,91.0,91.1
M3 Money Supply y/y,EUR,03-27-2023,8:00am,Low,3.2%,3.5%
Private Loans y/y,EUR,03-27-2023,8:00am,Low,3.6%,3.6%
German Buba President Nagel Speaks,EUR,03-27-2023,9:30am,Low,,
CBI Realized Sales,GBP,03-27-2023,10:00am,Low,-2,2
BOE Gov Bailey Speaks,GBP,03-27-2023,5:00pm,High,,
FOMC Member Jefferson Speaks,USD,03-27-2023,9:00pm,Low,,
BRC Shop Price Index y/y,GBP,03-27-2023,11:01pm,Low,,8.4%
Retail Sales m/m,AUD,03-28-2023,12:30am,Low,0.2%,1.9%
BOJ Gov Kuroda Speaks,JPY,03-28-2023,4:00am,Medium,,
BOJ Core CPI y/y,JPY,03-28-2023,5:00am,Low,3.0%,3.1%
BOE Gov Bailey Speaks,GBP,03-28-2023,8:45am,High,,
Goods Trade Balance,USD,03-28-2023,12:30pm,Low,-90.2B,-91.5B
Prelim Wholesale Inventories m/m,USD,03-28-2023,12:30pm,Low,-0.1%,-0.4%
HPI m/m,USD,03-28-2023,1:00pm,Low,-0.2%,-0.1%
S&P/CS Composite-20 HPI y/y,USD,03-28-2023,1:00pm,Low,2.6%,4.6%
German Buba President Nagel Speaks,EUR,03-28-2023,1:00pm,Low,,
ECB President Lagarde Speaks,EUR,03-28-2023,1:00pm,Medium,,
Richmond Manufacturing Index,USD,03-28-2023,2:00pm,Medium,-10,-16
CB Consumer Confidence,USD,03-28-2023,2:00pm,High,101.0,102.9
FOMC Member Barr Speaks,USD,03-28-2023,2:00pm,Low,,
Annual Budget Release,CAD,03-28-2023,8:00pm,Low,,
CPI y/y,AUD,03-29-2023,12:30am,High,7.2%,7.4%
German GfK Consumer Climate,EUR,03-29-2023,6:00am,Low,-29.5,-30.5
Credit Suisse Economic Expectations,CHF,03-29-2023,8:00am,Low,,-12.3
M4 Money Supply m/m,GBP,03-29-2023,8:30am,Low,0.9%,1.3%
Net Lending to Individuals m/m,GBP,03-29-2023,8:30am,Low,3.7B,4.1B
Mortgage Approvals,GBP,03-29-2023,8:30am,Low,41K,40K
FPC Statement,GBP,03-29-2023,9:30am,Low,,
FPC Meeting Minutes,GBP,03-29-2023,9:30am,Low,,
SNB Quarterly Bulletin,CHF,03-29-2023,1:00pm,Low,,
CB Leading Index m/m,CNY,03-29-2023,1:00pm,Low,,-0.6%
Pending Home Sales m/m,USD,03-29-2023,2:00pm,Medium,-2.9%,8.1%
FOMC Member Barr Speaks,USD,03-29-2023,2:00pm,Low,,
Crude Oil Inventories,USD,03-29-2023,2:30pm,Low,,1.1M
Gov Council Member Gravelle Speaks,CAD,03-29-2023,4:30pm,Low,,
MPC Member Mann Speaks,GBP,03-29-2023,6:55pm,Low,,
Building Consents m/m,NZD,03-29-2023,9:45pm,Low,,-1.5%
ANZ Business Confidence,NZD,03-30-2023,12:00am,Low,,-43.3
German Prelim CPI m/m,EUR,03-30-2023,6:29am,High,0.7%,0.8%
Spanish Flash CPI y/y,EUR,03-30-2023,7:00am,Medium,3.9%,6.1%
Italian Monthly Unemployment Rate,EUR,03-30-2023,8:00am,Low,7.9%,7.9%
ECB Economic Bulletin,EUR,03-30-2023,8:00am,Low,,
Italian 10-y Bond Auction,EUR,03-30-2023,10:33am,Low,,4.34|1.3
BOE Quarterly Bulletin,GBP,03-30-2023,11:00am,Low,,
Final GDP q/q,USD,03-30-2023,12:30pm,High,2.7%,2.7%
Final GDP Price Index q/q,USD,03-30-2023,12:30pm,Medium,3.9%,3.9%
Unemployment Claims,USD,03-30-2023,12:30pm,High,196K,191K
Natural Gas Storage,USD,03-30-2023,2:30pm,Low,,-72B
Gov Board Member Maechler Speaks,CHF,03-30-2023,4:00pm,Medium,,
Treasury Sec Yellen Speaks,USD,03-30-2023,7:45pm,Medium,,
Unemployment Rate,JPY,03-30-2023,11:30pm,Low,2.4%,2.4%
Tokyo Core CPI y/y,JPY,03-30-2023,11:30pm,Medium,3.1%,3.3%
Prelim Industrial Production m/m,JPY,03-30-2023,11:50pm,Low,2.8%,-4.6%
Retail Sales y/y,JPY,03-30-2023,11:50pm,Low,5.9%,6.3%
Private Sector Credit m/m,AUD,03-31-2023,12:30am,Low,0.4%,0.4%
Manufacturing PMI,CNY,03-31-2023,1:30am,Medium,51.6,52.6
Non-Manufacturing PMI,CNY,03-31-2023,1:30am,Medium,55.0,56.3
Housing Starts y/y,JPY,03-31-2023,5:00am,Low,-0.5%,6.6%
German Import Prices m/m,EUR,03-31-2023,6:00am,Low,-1.0%,-1.2%
German Retail Sales m/m,EUR,03-31-2023,6:00am,Low,0.5%,-0.3%
Nationwide HPI m/m,GBP,03-31-2023,6:00am,Low,-0.3%,-0.5%
Final GDP q/q,GBP,03-31-2023,6:00am,Low,0.0%,0.0%
Current Account,GBP,03-31-2023,6:00am,Low,-17.5B,-19.4B
Revised Business Investment q/q,GBP,03-31-2023,6:00am,Low,4.8%,4.8%
Retail Sales y/y,CHF,03-31-2023,6:30am,Low,-1.0%,-2.2%
French Prelim CPI m/m,EUR,03-31-2023,6:45am,Low,0.6%,0.9%
French Consumer Spending m/m,EUR,03-31-2023,6:45am,Low,0.0%,1.5%
KOF Economic Barometer,CHF,03-31-2023,7:00am,Low,100.4,100.0
German Unemployment Change,EUR,03-31-2023,7:55am,Low,1K,2K
Italian Prelim CPI m/m,EUR,03-31-2023,9:00am,Low,0.0%,0.3%
Core CPI Flash Estimate y/y,EUR,03-31-2023,9:00am,Medium,5.7%,5.6%
CPI Flash Estimate y/y,EUR,03-31-2023,9:00am,Medium,7.1%,8.5%
Unemployment Rate,EUR,03-31-2023,9:00am,Low,6.6%,6.7%
Core PCE Price Index m/m,USD,03-31-2023,12:30pm,High,0.4%,0.6%
Personal Income m/m,USD,03-31-2023,12:30pm,Low,0.2%,0.6%
Personal Spending m/m,USD,03-31-2023,12:30pm,Low,0.3%,1.8%
GDP m/m,CAD,03-31-2023,12:30pm,High,0.4%,-0.1%
Chicago PMI,USD,03-31-2023,1:45pm,Medium,43.1,43.6
Revised UoM Consumer Sentiment,USD,03-31-2023,2:00pm,Medium,63.1,63.4
Revised UoM Inflation Expectations,USD,03-31-2023,2:00pm,Low,,3.8%
ECB President Lagarde Speaks,EUR,03-31-2023,3:00pm,Medium,,
FOMC Member Williams Speaks,USD,03-31-2023,7:05pm,Low,,
FOMC Member Waller Speaks,USD,04-01-2023,2:00am,Medium,,
Daylight Saving Time Shift,NZD,04-01-2023,2:00pm,Holiday,,
Daylight Saving Time Shift,AUD,04-01-2023,4:00pm,Holiday,,
